CodSite,lat,long,abundance,habitat,spp
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Abarema brachystachya
area5,-22.616667,-43.883333,2,Montane Seasonal Atlantic Forest ,Abarema cochliacarpos
area4,-28.733333,-49.75,2,Montane Dense Ombrophilous Atlantic Forest ,Abarema langsdorffii
area10,-21.999167,-43.890833,2,Montane Dense Ombrophilous Atlantic Forest ,Abarema langsdorffii
area1,-20.798333,-41.292778,20,Submontane Seasonal Atlantic Forest,Abarema limae
area12,-27.816111,-50.324167,8,Mixed Ombrophilous Atlantic Forest,Acca sellowiana
area4,-28.733333,-49.75,49,Montane Dense Ombrophilous Atlantic Forest ,Actinostemon concolor
area1,-20.798333,-41.292778,703,Submontane Seasonal Atlantic Forest,Actinostemon klotzschii
area1,-20.798333,-41.292778,7,Submontane Seasonal Atlantic Forest,Actinostemon verticillatus
area9,-8.032611,-35.192125,58,Lowlands Seasonal Atlantic Forest ,Actinostemon verticillatus
area4,-28.733333,-49.75,2,Montane Dense Ombrophilous Atlantic Forest ,Aegiphila brachiata
area4,-28.733333,-49.75,4,Montane Dense Ombrophilous Atlantic Forest ,Aegiphila integrifolia
area11,-21.976389,-43.878889,10,Montane Cloud Atlantic Forest,Aegiphila sellowiana
area10,-21.999167,-43.890833,1,Montane Dense Ombrophilous Atlantic Forest ,Agonandra excelsa
area3,-22.7222082,-42.628058,3,Submontane Dense Ombrophilous Atlantic Forest ,Aiouea saligna
area4,-28.733333,-49.75,2,Montane Dense Ombrophilous Atlantic Forest ,Albizia edwallii
area9,-8.032611,-35.192125,13,Lowlands Seasonal Atlantic Forest ,Albizia polycephala
area3,-22.7222082,-42.628058,1,Submontane Dense Ombrophilous Atlantic Forest ,Albizia polycephala
area7,-7.633333,-35.5,1,Montane Dense Ombrophilous Atlantic Forest ,Albizia polycephala
area3,-22.7222082,-42.628058,4,Submontane Dense Ombrophilous Atlantic Forest ,Alchornea glandulosa
area4,-28.733333,-49.75,4,Montane Dense Ombrophilous Atlantic Forest ,Alchornea glandulosa
